Country,1,2,3,4,5
Albania,Jorginho,Messi,Lewandowski,Bonucci,Pedri
Algeria,Jorginho,De Bruyne,Mahrez,Lewandowski,Messi
Andorra,Messi,Haaland,Lewandowski,Lukaku,Mbappé
Angola,Lewandowski,Jorginho,Kanté,Cristiano Ronaldo,Messi
Argentina,Messi,Benzema,Cristiano Ronaldo,Suarez,Pedri
Armenia,Messi,Donnarumma,Chiellini,Lewandowski,Cristiano Ronaldo
Aruba,Kanté,De Bruyne,Lewandowski,Benzema,Messi
Australia,Lewandowski,Messi,Jorginho,Kanté,Salah
Austria,Lewandowski,Messi,Jorginho,De Bruyne,Kanté
Azerbaijan,Kanté,Jorginho,Lewandowski,Benzema,Messi
Bahrain,Jorginho,Benzema,Salah,Messi,Cristiano Ronaldo
Bangladesh,Jorginho,Lewandowski,Messi,Cristiano Ronaldo,Neymar
Barbados,Messi,Jorginho,Lewandowski,Kanté,Lukaku
Belarus,Lewandowski,Messi,Jorginho,Cristiano Ronaldo,Mbappé
Belgium,Messi,Jorginho,Lewandowski,Kanté,Lukaku
Belize,Messi,Mbappé,Salah,Cristiano Ronaldo,Neymar
Benin,Lewandowski,Jorginho,Messi,Kanté,Cristiano Ronaldo
Bhutan,Salah,Kanté,Haaland,Foden,Benzema
Bolivia,Messi,Benzema,Neymar,Cristiano Ronaldo,Suarez
Brazil,De Bruyne,Jorginho,Mbappé,Lukaku,Neymar
Bulgaria,Benzema,Donnarumma,Messi,Lewandowski,De Bruyne
Burkina Faso,Messi,Lewandowski,Benzema,Mbappé,Cristiano Ronaldo
Burundi,Messi,Lewandowski,Kanté,Cristiano Ronaldo,Lukaku
Cabo Verde,Lewandowski,Jorginho,Kanté,Cristiano Ronaldo,Messi
Cambodia,Messi,Jorginho,Lewandowski,Kanté,Mbappé
Cameroon,Mbappé,Salah,De Bruyne,Donnarumma,Cristiano Ronaldo
Canada,Messi,Lewandowski,Jorginho,Kanté,Salah
Caymans Islands,Cristiano Ronaldo,De Bruyne,Messi,Salah,Neymar
Central African Republic,Cristiano Ronaldo,Lewandowski,Benzema,Messi,Jorginho
Chad,Benzema,Messi,Lewandowski,Jorginho,Kanté
Chile,Messi,Cristiano Ronaldo,Lukaku,Lewandowski,Neymar
